mu,Drude,BC,dQM,app_QM,Green_Dr,Green_BC
-1.4,7.154046581399312,0.002729449256366137,-0.0009975014117505803,0.001737862210892326,7.146600522195106,0.0017395354956239674
-1.3,7.144068379588674,0.0025395614009611697,-0.0009396983533581828,0.0016051686335570735,7.136964492102686,0.0016064268266318025
-1.2,7.109848396157752,0.0023878394228378213,-0.0008918648650026937,0.0015008079918669846,7.103040515132304,0.001501777420108719
-1.1,7.053221801900223,0.0022684671672853797,-0.0008530632997460449,0.0014198774151197092,7.046675360260845,0.001420649578636264
-1.0,6.975731024218583,0.002177233177708092,-0.000822521860685628,0.0013589324922220053,6.969425058884025,0.0013595862743040307
-0.9,6.878702632444628,0.0021112253046220776,-0.0007996814724680093,0.001315681505564398,6.872643846081841,0.0013163117827335164
-0.8,6.7634263466305,0.002068888060164097,-0.0007843801867897869,0.0012890883161004003,6.7577055688258465,0.0012898254506830589
-0.7,6.631780004708354,0.002051331018182161,-0.0007776296423082877,0.001280568954161749,6.626581342178911,0.0012813708765884134
-0.6,6.487024531091776,0.0020670459434249376,-0.0007826325267639864,0.0012953208087792066,6.481784859761034,0.0012955237045703745
-0.5,6.328346600273868,0.0021284060467457204,-0.0008001740436022696,0.0013350112803641196,6.322639179759033,0.0013353647676301549
-0.4,6.151882944355359,0.00222278061071203,-0.0008268682390250063,0.001394912102671545,6.145792328863846,0.001395755569742444
-0.3,5.95443426657082,0.002326502993920604,-0.0008573255478736725,0.0014675807192870676,5.948597211709971,0.001468123806225977
-0.2,5.73703291605213,0.0024383037163701058,-0.0008885872862639543,0.001550254478653744,5.731890396535816,0.0015508067496232663
-0.1,5.503830166946354,0.0025685749320850434,-0.0009223523421289021,0.0016487754262591906,5.499162015741252,0.0016496638815655783
0.0,5.2572885354594225,0.002728871307751485,-0.0009610226260084636,0.0017720079236576963,5.2528305057794515,0.001773408652856492
0.1,4.998006839388755,0.002931051329034381,-0.0010062630114696736,0.0019303572576119068,4.993587218215754,0.001932438744042395
0.2,4.725424602669573,0.0031887388659128436,-0.001058717387964151,0.002137084288594397,4.72095654169468,0.00214011780666844
0.3,4.438385908183044,0.003519503286456081,-0.0011175996845431229,0.00241103739150353,4.433937118404206,0.0024156042244182986
0.4,4.136068514770269,0.003948794294115701,-0.0011798649547478414,0.002782137924781796,4.132286413392117,0.002790187765582391
0.5,3.8211096944787983,0.0045201413539640335,-0.0012391477081425142,0.0033040743641910572,3.819138539368865,0.00331802644100887
0.6,3.504013415367502,0.005319523817450395,-0.0012837252844706585,0.004076241859669753,3.503257518601655,0.004093111610513474
0.7,3.1958220580738623,0.006485693623049898,-0.001290408539134503,0.005238480728987444,3.190241922968132,0.005236736374783616
0.8,2.871075060974537,0.008032871082979114,-0.0012126767949861095,0.00665671483491749,2.828262042112919,0.006569643374532208
0.9,2.25243526311846,0.008253761450612929,-0.0009325129926885395,0.006647120198884455,2.181532839799226,0.006542404206477805
1.0,1.1314226791594155,0.004072261742113284,-0.0004568099167577641,0.0038515766801402768,1.1708458172676564,0.0038204630578585605
1.1,0.2944832194599701,0.0009776235349131521,-0.00012704031154992554,0.0011792695574241844,0.3788488520604458,0.0012532525979617544
1.2,0.05845441127321024,0.00019133869646197678,-2.6289532793366648e-5,0.0002522573953650602,0.08736122020361094,0.0002992347456445685
1.3,0.011127007001451077,3.634841886574201e-5,-5.055524751489942e-6,4.886655371580839e-5,0.017860238471518984,6.525007729372346e-5
1.4,0.0021045610283124887,6.872533336049955e-6,-9.581376086552815e-7,9.27458371154986e-6,0.0033618521476853425,1.3626306672735828e-5
1.5,0.00039760413060925526,1.298309027985518e-6,-1.810859577492833e-7,1.753352913781448e-6,0.0005631884245146195,2.8562643695475567e-6
