x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
-0.55565107,2.7313476,-0.67367566,-0.7340348,3.2208211,0.18343815,0.5014849,-0.54105943,-1.9150817,1.0774642,-0.45214832,-2.9926355,0.32266757,-0.99590915,-1.3330387,0.49620682
-0.515796,2.7594829,-0.66533893,-0.7411172,3.2406743,0.21759804,0.5023431,-0.5868662,-1.9480246,1.1014565,-0.45923346,-3.0159018,0.30761024,-0.98803276,-1.3500838,0.49126917
-0.47551167,2.7866476,-0.65695065,-0.74760705,3.2587516,0.25167507,0.50255555,-0.6319357,-1.978451,1.1232492,-0.462024,-3.037805,0.29209867,-0.9815,-1.3682514,0.48655292
-0.43507817,2.81296,-0.6485739,-0.75346607,3.2750795,0.28563094,0.5020315,-0.6759292,-2.0064642,1.1429961,-0.4603228,-3.0583143,0.27608895,-0.97609967,-1.3877062,0.48200133
-0.39476523,2.8385217,-0.6402554,-0.7586568,3.2896705,0.31938452,0.5006773,-0.7185086,-2.032162,1.1608303,-0.4539772,-3.0774086,0.2595153,-0.971575,-1.408593,0.4775491
-0.35483143,2.863421,-0.632034,-0.7631428,3.3025155,0.35280624,0.49839854,-0.75934875,-2.0556395,1.1768588,-0.4428801,-3.0950816,0.24228755,-0.9676227,-1.4310373,0.4731212
-0.31552303,2.8877368,-0.623948,-0.7668932,3.3135743,0.385715,0.4951022,-0.7981482,-2.076995,1.1911582,-0.42697054,-3.1113439,0.22429062,-0.9638957,-1.4551413,0.4686293
-0.2770727,2.9115458,-0.61604476,-0.76988804,3.3227713,0.4178783,0.49069732,-0.83463746,-2.0963342,1.2037739,-0.40623617,-3.1262226,0.20538649,-0.96001214,-1.4809818,0.46396708
-0.23969641,2.9349296,-0.608389,-0.7721266,3.3299959,0.4490178,0.485096,-0.86858493,-2.1137788,1.2147224,-0.38071328,-3.1397598,0.1854196,-0.9555704,-1.5086049,0.45900488
-0.20358834,2.9579818,-0.6010719,-0.7736345,3.335109,0.47882035,0.47821423,-0.8997985,-2.1294713,1.2239978,-0.3504868,-3.1520083,0.16422607,-0.9501706,-1.5380222,0.453585
-0.16891262,2.9808154,-0.59421575,-0.7744682,3.3379557,0.5069553,0.46997324,-0.9281238,-2.1435823,1.2315811,-0.3156871,-3.163026,0.14164652,-0.94344014,-1.5692079,0.44751924
-0.1357931,3.0035686,-0.5879745,-0.7747129,3.338383,0.53309625,0.4603007,-0.953437,-2.1563115,1.2374489,-0.27648553,-3.1728673,0.1175408,-0.9350602,-1.6021007,0.44059125
-0.10430292,3.0264068,-0.58252746,-0.7744717,3.3362553,0.5569453,0.4491293,-0.9756349,-2.1678805,1.2415814,-0.23308861,-3.1815722,0.091801666,-0.9247874,-1.6366094,0.43256524
-0.0744578,3.0495176,-0.578067,-0.7738452,3.331467,0.5782574,0.4363921,-0.99462414,-2.1785154,1.2439622,-0.18573262,-3.1891546,0.06436501,-0.91246516,-1.6726234,0.4232021
-0.04621736,3.0730987,-0.5747834,-0.77290833,3.323942,0.59686154,0.42201516,-1.0103135,-2.18842,1.2445722,-0.13467841,-3.195589,0.03521458,-0.8980224,-1.7100242,0.4122803
-0.019497456,3.097337,-0.5728528,-0.77169037,3.3136237,0.61267406,0.40591142,-1.0226128,-2.1977472,1.2433815,-0.08020612,-3.2008007,0.0043814993,-0.8814635,-1.7486948,0.39961836
0.005807375,3.1223845,-0.57243276,-0.7701668,3.3004563,0.62570083,0.38798046,-1.0314388,-2.2065766,1.2403452,-0.022609342,-3.2046595,-0.028059078,-0.8628552,-1.788524,0.38509223
0.029794604,3.148338,-0.57366365,-0.76826644,3.284371,0.6360259,0.36812013,-1.0367289,-2.2149065,1.2354099,0.037811562,-3.206984,-0.061991327,-0.8423179,-1.8294078,0.36864534
0.05252316,3.1752245,-0.5766736,-0.7658866,3.265279,0.6437868,0.3462448,-1.038456,-2.2226613,1.2285329,0.10075732,-3.207556,-0.097260684,-0.820022,-1.8712444,0.35029042
0.0739867,3.2029989,-0.5815745,-0.7629082,3.2430809,0.6491395,0.32230324,-1.0366452,-2.2297156,1.2197074,0.16593811,-3.2061417,-0.1336739,-0.79618037,-1.9139233,0.3301073
0.094092675,3.2315536,-0.588442,-0.75919634,3.2176821,0.6522185,0.29627976,-1.0313811,-2.2359247,1.2089783,0.23308088,-3.2025163,-0.17100032,-0.77102464,-1.9573028,0.3082418
0.11264847,3.2607327,-0.59727794,-0.7545836,3.1890144,0.6530967,0.26816845,-1.0228031,-2.24116,1.1964402,0.30193168,-3.1964834,-0.20897825,-0.7447552,-2.0011795,0.28490564
0.12935731,3.2903478,-0.607963,-0.74885213,3.1570528,0.65175563,0.23793049,-1.0110841,-2.2453377,1.182209,0.37224478,-3.1878867,-0.24732774,-0.7174752,-2.0452535,0.26036915
0.14383222,3.320186,-0.6202287,-0.741741,3.1218302,0.6480818,0.20547332,-0.9963958,-2.2484283,1.1663804,0.443753,-3.1766162,-0.28576377,-0.68914485,-2.0891142,0.23492289
0.15563826,3.3500135,-0.6336769,-0.7329991,3.0834424,0.6419008,0.17069843,-0.97887236,-2.250427,1.1489924,0.5161324,-3.1626048,-0.32400042,-0.65960443,-2.132266,0.20879404
0.16435683,3.3795893,-0.64786685,-0.72246784,3.0420315,0.63303554,0.13361938,-0.9585877,-2.2512903,1.1299987,0.5890036,-3.145821,-0.36174724,-0.62868714,-2.1741996,0.18205293
0.16964138,3.4086866,-0.66246194,-0.7101491,2.9977412,0.6213431,0.0944714,-0.9355571,-2.2508783,1.1092498,0.662012,-3.126275,-0.3987158,-0.5963937,-2.2144828,0.15458427
0.17123662,3.4371078,-0.67738026,-0.69621813,2.950662,0.6067094,0.053723365,-0.90975434,-2.248946,1.0864776,0.73494995,-3.1040554,-0.4346467,-0.56305474,-2.2528267,0.12615071
0.16897343,3.4646645,-0.692862,-0.68098575,2.9007914,0.5890458,0.011987118,-0.8811242,-2.2451763,1.0612961,0.807805,-3.0793715,-0.4693382,-0.5293999,-2.289092,0.09647573
0.16276507,3.4911227,-0.70939857,-0.6648477,2.848048,0.5683325,-0.03009644,-0.8495831,-2.2392075,1.0332425,0.8806705,-3.052545,-0.50265735,-0.4964775,-2.3232362,0.06529426
0.15259373,3.5161498,-0.7275603,-0.64825463,2.792348,0.54469734,-0.07192751,-0.8150158,-2.2306159,1.0018897,0.95358944,-3.0239685,-0.53454876,-0.46542314,-2.355236,0.032421745
0.13846564,3.539297,-0.74782866,-0.63172215,2.7337203,0.51848006,-0.11299595,-0.7772826,-2.2188845,0.96703166,1.0264391,-2.9940891,-0.5650518,-0.43715608,-2.3850453,-0.0021250562
0.12037329,3.5600133,-0.77051735,-0.6158713,2.6723866,0.49022502,-0.15295398,-0.73625755,-2.2034411,0.9288369,1.0988944,-2.9634337,-0.59429234,-0.41216454,-2.4125805,-0.038041018
0.09832696,3.5776498,-0.795795,-0.60143346,2.6087723,0.46057466,-0.1916589,-0.6918987,-2.1838367,0.8878228,1.1704391,-2.9326248,-0.6224311,-0.39049816,-2.4376864,-0.07476607
0.072444774,3.5914767,-0.8237504,-0.5891573,2.543513,0.43012616,-0.2290696,-0.64430475,-2.1599882,0.8446459,1.2403704,-2.9023662,-0.64962476,-0.37188512,-2.4600816,-0.11159135
0.043034796,3.6007888,-0.85443574,-0.57969904,2.47747,0.3993504,-0.26505524,-0.5937478,-2.132328,0.79988533,1.3078195,-2.8733573,-0.676022,-0.35583436,-2.479334,-0.14774884
0.010619864,3.6051543,-0.88786036,-0.5735922,2.4116728,0.3685977,-0.29931077,-0.5407095,-2.1017504,0.7539877,1.3718477,-2.8461006,-0.7017276,-0.34172884,-2.4949346,-0.18248229
-0.024119865,3.6046526,-0.9239571,-0.57118845,2.3471847,0.3381202,-0.33143187,-0.4858631,-2.0693789,0.7073585,1.4316007,-2.8207507,-0.72674406,-0.32895038,-2.5064707,-0.21512997
-0.060455013,3.599879,-0.9625481,-0.5725086,2.2849617,0.3080607,-0.36105153,-0.4299546,-2.0363038,0.6604543,1.486432,-2.797151,-0.7509724,-0.31696472,-2.5138037,-0.24520947
-0.09769888,3.5917416,-1.003316,-0.5771804,2.2257519,0.27843848,-0.3879459,-0.37367272,-2.0034351,0.6137908,1.5359576,-2.7749846,-0.77427554,-0.30530855,-2.5170991,-0.272466
